Company Name,Contact Name,Title,LinkedIn URL,Priority Tier,Confidence Note
Justworks,Natalie Miranda,"Vice President, Customer Success",https://www.linkedin.com/in/nataliemiranda/,2,"Confirmed via PRNewswire announcement + TheOrg.com + Crunchbase cross-reference. No Chief Customer/Client/Service Officer exists at Justworks. Original appointment ~4 years old, recommend a quick LinkedIn glance before outreach."
Insperity,Roger Nicholson,"Senior Vice President, Service Operations",https://www.linkedin.com/in/roger-nicholson-68aab5/,2,"Confirmed via Insperity's official leadership page (live fetch) + individual bio page + TheOrg.com. No CCO/CClO/CSO exists at Insperity."
CoAdvantage,Kristen Appleman,Chief Operating Officer,https://www.linkedin.com/in/kristen-appleman/,4,"Confirmed via merger press release (PR Newswire) + CoAdvantage official leadership page + ZoomInfo/LinkedIn. No Chief Client/Customer/Service Officer or VP/Head of Client Services exists currently; her role is explicitly described as owning client experience."
ExtensisHR,Joseph Lambert,"Vice President, Client Success",NOT CONFIRMED - no verifiable LinkedIn URL found,2,"Confirmed via ExtensisHR official leadership page + ZoomInfo. LinkedIn profile could not be verified - do a manual LinkedIn search before uploading to Seamless. Alternative contact: Jen Morrow, new President & COO (appointed Jan 5 2026, real timing-signal trigger-event angle), also no LinkedIn URL confirmed - tier 4, outranked by Lambert."
PrestigePEO,Heather Keefer Saulsbury,"Executive Vice President (dual role overseeing StaffLink Outsourcing)",https://www.linkedin.com/in/heather-keefer-saulsbury-056741bb,2,"Confirmed via team bio page (search snippet, direct fetch blocked) + ZoomInfo/Equilar/RocketReach cross-reference. No Chief Client/Customer/Service Officer exists at PrestigePEO; her bio explicitly credits her with client experience/customer service ownership."
Safeguard Global,Brian Dames,Chief Customer Officer,https://www.linkedin.com/in/briandames/,1,"Confirmed via Safeguard Global's own newsroom press release + dedicated bio page + PRWeb wire release. Newly created role, appointed Dec 3 2024."
Sequoia One,Christina Dias Sullivan,"Chief Client Officer, Sequoia (oversees Sequoia One PEO practice)",https://www.linkedin.com/in/christina-dias-sullivan-735ab71,1,"Confirmed via Sequoia's official leadership page, directly ties her role to the Sequoia One PEO practice. Backup/CEO option: Kathy Ross, CEO Sequoia One, also confirmed on same page."
Questco,Olivier Kohler,Chief Executive Officer,https://www.linkedin.com/in/olivierkohler,3,"Confirmed via official PR Newswire release (Feb 3 2026 CEO transition announcement) + Questco's own blog + LinkedIn headline. Exact match for the ex-TriNet COO signal - no Chief Customer/Client/Service Officer or VP/Head of Client Services exists at Questco."
Nextep,Brian Fayak,"Founder, President & CEO",https://www.linkedin.com/in/brian-fayak-7b07883,1,"Confirmed via Nextep's official 'Our Team' page + matching LinkedIn title. Founded the company in 1997. No separate Chief Client/Customer Officer role exists."
Multiplier,Kate Walsh,Chief Customer Officer,https://www.linkedin.com/in/katefarren/,1,"Confirmed via official PR Newswire release (Jan 20-21 2026 leadership appointment) + citybiz.co coverage + career-history match on LinkedIn (HubSpot, Klaviyo, Productboard, Thrive -> Multiplier). LinkedIn URL slug is 'katefarren' - recommend a quick click-through to confirm before uploading."
